model_id,odb_file,Max_S11_MPa_from_odb,Min_S11_MPa_from_odb,Max_Mises_MPa
M01,M01_sharp_v1.odb,-2.908314,-6.4395847,7.7966742515563965
M02,M02_linear_v1.odb,-3.754529,-7.791997,8.179767608642578
M03,M03_exponential_v1.odb,-3.5112336,-6.682755,6.801059246063232
M04,M04_power_n05_v1.odb,-3.9467657,-8.475406,9.28821849822998
M05,M05_power_n2_v1.odb,-3.5283287,-7.194959,7.332578659057617
M10,M10_PWR_n2_L08_v1.odb,-3.5283287,-7.194959,7.332578659057617
M11,M11_PWR_n2_L12_v1.odb,-3.471567,-7.3085556,7.311216354370117
M12,M12_PWR_n2_L16_v1.odb,-3.4785838,-7.199393,7.198911190032959
M13,M13_PWR_n1p5_L16_v1.odb,-3.489748,-8.127826,8.152043342590332
M14,M14_PWR_n2_L16_v1.odb,-3.4785838,-7.199393,7.198911190032959
M15,M15_PWR_n3_L16_v1.odb,-3.2889261,-6.80648,6.813203811645508
M16,M16_PWR_n5_L16_v1.odb,-2.928087,-6.80395,6.816735744476318
M17,M17_PWR_n3_L16_nuConst_v1.odb,-3.2889261,-6.80648,6.813203811645508
M18,M18_PWR_n3_L16_nuVar_v1.odb,-3.095994,-7.3164477,7.322357654571533
